# run lumi evt seed tc cls df00 df01 df02 df03 df04 df05 df06 df07 df08 df09 df10 df11 df12 df13 df14 df15 df16 df17 df18 df19 df20 df21
1 46 4560 209 344 0 0.0907213 0.886277 0.00109467 0.00138182 0.000929481 -0.0669744 4.8132 6.06887 6.06887 -30 6 12 27.7933 0.0892934 0.788865 3 1 0 0 1 2 1
1 46 4560 244 346 1 0.0588601 0.677227 0.0008984 0.00135629 0.944716 -0.0720665 3.76353 0.169359 0.169359 5.0242 6 12 29.3895 0.0603689 0.668566 3 1 0 0 1 1 2
1 46 4560 253 346 0 0.10668 0.775232 0.000974957 0.00132008 0.000799191 -0.0645914 4.7883 4.77095 4.77095 -30 6 12 29.3895 0.0603689 0.668566 3 1 0 0 1 2 2
1 46 4560 321 347 1 0.302985 0.0058709 0.000262598 0.000873167 0.000385451 0.0426918 1.45668 -2.48054 0.358055 2.72334 6 12 26.4432 0.0480654 0.00970436 3 1 0 0 1 1 1
1 46 4560 470 350 0 0.0327531 1.07876 0.0014746 0.00170244 1.88371e-07 -0.0790417 3.17563 5.81669 5.81669 -30 6 12 34.14 0.0514554 1.07375 4 1 0 0 1 1 1
1 46 4560 402 364 1 -0.0724738 1.56111 0.00161869 0.00170213 0.00159143 0.0761411 1.62264 2.48351 2.48351 4.60287 6 12 29.1292 -0.0677571 1.48107 3 4 0 0 1 2 4
1 46 4560 220 367 0 0.108244 1.03071 0.00124545 0.00144522 0.00100184 -0.0642848 7.87496 6.33474 6.33474 -30 5 10 25.8359 0.112836 0.897096 3 1 0 0 1 3 1
1 46 4560 324 373 0 -0.0245229 1.59137 0.00167658 0.00147435 0.651466 0.0807912 8.36526 6.42404 6.42404 -30 6 12 32.8182 -0.0263479 1.60063 4 1 0 0 1 2 3
1 46 4560 165 376 0 -0.0227792 0.202159 0.00045032 0.00153836 0.333024 0.087542 8.20414 -1.06163 5.49387 -30 5 10 22.2749 -0.0376976 0.242825 2 1 0 0 1 1 2
1 46 4560 176 376 0 -0.0208098 0.251422 0.000496817 0.00161288 0.000197723 0.0919003 0.190022 5.70288 5.70288 -30 5 10 22.2749 -0.0376976 0.242825 2 1 0 0 1 2 2
1 46 4560 213 381 1 0.139697 0.441976 0.00054384 0.00107582 0.000248075 -0.0595528 0.0350403 -0.992094 4.36833 -30 5 10 25.8953 -0.0873955 0.505954 3 1 0 0 1 3 1
1 46 4560 405 382 0 0.366535 1.29156 0.000934793 0.000648674 3.97045 0.0344616 5.96822 6.47775 6.47775 -30 5 10 25.2204 0.377999 1.30633 3 2 0 1 0 1 3
1 46 4560 413 382 1 -0.0762964 1.29994 0.00159317 0.00177997 106.697 0.088246 11.5547 -3.02608 0.298573 2.19255 5 10 25.2204 0.377999 1.30633 3 1 0 0 1 1 3
1 46 4560 2886 417 1 -0.0957774 2.04651 0.00233652 0.00179556 0.0158468 0.10494 24.4 0.748038 0.748038 0.721313 5 10 26.1335 0.3995 2.02357 3 1 0 0 1 1 7
1 46 4560 206 420 0 0.128365 0.468291 0.00056406 0.00108542 1.50127 0.0632381 4.5601 2.40859 6.84472 -30 5 10 21.5883 0.21061 0.462947 2 1 0 0 1 2 1
1 46 4560 259 446 0 0.0903022 1.80529 0.00244951 0.0015512 1.0719 0.0551563 10.1671 2.23913 2.23913 3.4986 5 10 21.3807 -0.015822 1.82088 2 7 0 3 1 1 7
1 46 4560 805 463 1 -0.0981076 2.145 0.002526 0.00198103 0.00445618 -0.080457 7.79566 -2.32876 -2.32743 1.30419 5 10 21.2658 0.0272854 2.06864 2 4 0 0 0 1 6
1 46 4560 346 467 0 0.00399801 0.984357 0.00147884 0.00181287 0.00160566 0.0847057 3.82644 6.05443 6.05443 -30 5 10 21.2091 0.0134892 0.898827 2 1 0 0 1 1 1
1 46 4560 419 502 0 0.151818 1.82021 0.00173457 0.00115103 0.00116056 0.0491816 2.65845 4.57486 4.57486 -30 5 10 20.6988 -0.229124 1.79681 2 3 0 2 1 1 3
1 46 4560 288 510 0 -0.0087227 0.474339 0.000859777 0.00173884 16.7233 0.0885068 11.8202 -1.37027 6.04042 -30 5 10 25.7807 -0.0755362 0.571486 3 1 0 0 1 1 1
1 46 4560 558 513 1 0.0551177 0.145818 0.000334992 0.0013581 0.00031296 -0.0731624 4.73029 -1.79451 2.3288 1.53327 5 10 20.5452 -0.060407 0.086261 2 1 0 0 1 3 1
1 46 4560 2022 516 1 0.0862393 1.72489 0.00142534 0.00118516 0.000480517 0.0736913 7.14669 5.72414 5.72414 -30 5 10 24.896 0.060863 1.71721 3 1 0 0 1 2 1
1 46 4560 132 527 0 -0.0124477 1.26419 0.00189386 0.00202357 0.00227031 -0.0849362 1.17031 3.3161 6.84488 -30 5 10 20.8434 -0.0816352 1.23103 2 1 0 0 1 2 1
1 46 4560 186 541 0 -0.0893921 1.04097 0.00185866 0.00223985 2.2808 -0.101524 5.52042 6.83938 6.83938 5.84189 5 10 21.1139 -0.0908603 1.06996 2 1 0 0 1 2 1
1 46 4560 203 542 0 0.086698 0.0769182 0.000296368 0.00129675 0.000347889 0.0701306 6.59244 6.58834 6.58834 -30 6 12 28.6104 0.0690861 0.0487084 3 1 0 0 1 2 1
1 46 4560 531 546 1 -0.0942465 1.05599 0.0018761 0.00224184 0.00014586 -0.102395 1.84725 -3.5441 -0.538297 2.56199 5 10 26.1473 0.866344 1.18316 3 1 0 0 1 2 1
1 46 4560 467 552 1 -0.00261853 1.4309 0.00167122 0.00144464 5.09311e-05 0.0771506 4.63237 0.650819 6.62747 4.82183 5 10 20.7838 0.045766 1.4119 2 1 0 0 1 2 1
