# run lumi evt seed tc cls df00 df01 df02 df03 df04 df05 df06 df07 df08 df09 df10 df11 df12 df13 df14 df15 df16 df17 df18 df19 df20 df21
1 46 4560 7 770 0 0.585926 1.4525 0.00071013 0.000401389 64.6646 0.0189484 10.5917 -3.3255 3.69265 -30 5 10 23.2751 0.334114 1.32081 3 1 0 0 1 5 1
1 46 4560 313 774 1 0.411084 0.421876 0.00040138 0.0006006 0.132922 -0.0333382 2.30751 -1.96315 0.915022 4.99449 5 10 19.0395 0.154391 0.401793 2 1 0 0 1 2 1
1 46 4560 529 776 1 0.682836 0.15844 0.000276942 0.000421646 0.00289401 0.0175481 1.98729 0.228208 0.228208 -30 6 12 25.2731 0.648009 0.183114 3 1 0 0 1 2 1
1 46 4560 893 785 1 0.0775991 1.98068 0.00188219 0.00132746 0.00191647 0.0576645 9.44056 -1.73604 1.99452 2.94461 5 10 19.0998 -0.0854799 1.88912 2 3 0 0 1 4 3
1 46 4560 243 788 1 -0.0799893 1.50333 0.0019066 0.00179098 26.4332 0.0947013 10.0986 -2.293 -0.851825 1.57772 5 10 20.2754 0.12138 1.37612 3 1 0 0 1 1 1
1 46 4560 23 790 1 0.0931011 1.62197 0.00152511 0.00122515 0.923448 0.0579112 7.1979 -0.844928 -0.324356 3.66487 5 10 17.9045 -0.0420206 1.62427 2 2 0 0 1 6 2
1 46 4560 656 797 0 -0.0250622 2.00853 0.00223557 0.00169977 4.30345 -0.0658492 13.2226 -2.54003 1.2704 -30 5 10 23.9402 -0.0103078 1.87615 3 3 0 2 1 1 6
1 46 4560 657 797 1 0.104927 1.89788 0.00158962 0.00121327 0.00276176 -0.0643322 5.12425 3.23167 3.23167 3.74724 5 10 23.9402 -0.0103078 1.87615 3 1 0 0 1 2 6
1 46 4560 7 802 0 0.585926 1.4525 0.00071013 0.000401389 64.6646 0.0189484 10.5917 -0.622749 3.69265 -30 5 10 22.4923 0.0293446 1.48664 3 1 0 0 1 5 1
1 46 4560 893 810 1 0.0775991 1.98068 0.00188219 0.00132746 0.00191647 0.0576645 9.44056 -3.79293 1.99452 2.94461 5 10 17.4029 -0.0280931 1.8569 2 3 0 0 1 4 3
1 46 4560 234 813 1 -0.0688173 0.295729 0.000571368 0.00174948 1.48828 -0.0996097 8.32094 0.889795 0.889795 1.65494 5 10 19.489 -0.0912648 0.324351 2 1 0 0 1 2 1
1 46 4560 318 814 0 0.0442694 0.206078 0.000371772 0.00135659 0.000511738 0.0768361 10.677 -3.76012 6.68275 -30 6 12 22.6456 0.19705 0.220059 3 1 0 0 1 1 1
1 46 4560 506 815 1 0.500732 0.382089 0.000373134 0.000559307 0.000358794 -0.0261687 4.1296 -2.14801 -0.175754 3.57871 5 10 18.0202 -0.0352534 0.253692 2 1 0 0 1 1 1
1 46 4560 2094 816 2 -0.0911081 1.73102 0.00191867 0.00178666 12.4155 0.0997643 9.74833 -1.17609 0.296912 5.679 6 12 23.8085 0.486199 1.73092 3 6 0 0 1 1 12
1 46 4560 237 835 0 1.08137 0.452631 0.000401483 0.000168024 0.00038207 0.00711505 0.210366 -1.72779 3.70938 -30 5 10 20.839 0.120174 0.548403 3 1 0 0 1 3 2
1 46 4560 238 835 0 0.953926 0.472474 0.000354967 0.000212308 0.000380167 -0.00950328 0.140138 -2.02688 3.44545 -30 5 10 20.839 0.120174 0.548403 3 1 0 0 1 3 2
