events = 300

=== UNIVERSE (post-deletion bare seeds), per event ===
group              class                    N  consumed  RPSblock  XCretire   SURVIVE
TRANS 1.1-1.7        -0.5     2.727     0.007     2.883     0.177      0.95     5.467   -0.00149
TRANS 1.1-1.7         0.0     2.177     0.000     1.790     0.117      1.22     4.353   -0.00093
TRANS 1.1-1.7         0.5     1.797     0.000     1.043     0.077      1.72     3.593   -0.00054
TRANS 1.1-1.7         1.0     1.613     0.000     0.757     0.060      2.13     3.227   -0.00039
TRANS 1.1-1.7         1.5     1.443     0.000     0.550     0.037      2.62     2.887   -0.00028
TRANS 1.1-1.7         2.0     1.257     0.000     0.413     0.023      3.04     2.513   -0.00021
TRANS 1.1-1.7         2.5     1.047     0.000     0.270     0.017      3.88     2.093   -0.00014
TRANS 1.1-1.7         3.0     0.777     0.000     0.170     0.010      4.57     1.553   -0.00009
TRANS 1.1-1.7         3.5     0.570     0.000     0.127     0.010      4.50     1.140   -0.00007
TRANS 1.1-1.7         4.0     0.393     0.000     0.110     0.010      3.58     0.787   -0.00006
TRANS 1.1-1.7         4.5     0.313     0.000     0.097     0.010      3.24     0.627   -0.00005
TRANS 1.1-1.7         5.0     0.247     0.000     0.083     0.010      2.96     0.493   -0.00004
TRANS 1.1-1.7         5.5     0.220     0.000     0.080     0.010      2.75     0.440   -0.00004
TRANS 1.1-1.7         6.0     0.210     0.000     0.080     0.010      2.62     0.420   -0.00004
TRANS 1.1-1.7         6.5     0.207     0.000     0.077     0.010      2.70     0.413   -0.00004
TRANS 1.1-1.7         7.0     0.207     0.000     0.077     0.010      2.70     0.413   -0.00004
TRANS 1.1-1.7         7.5     0.203     0.000     0.077     0.010      2.65     0.407   -0.00004
TRANS 1.1-1.7         8.0     0.203     0.000     0.077     0.010      2.65     0.407   -0.00004
TRANS 1.1-1.7         8.5     0.197     0.000     0.077     0.010      2.57     0.393   -0.00004
TRANS 1.1-1.7         9.0     0.197     0.000     0.077     0.010      2.57     0.393   -0.00004
ENDCAP >1.7          -2.0     4.237     0.537    81.123    12.960      0.06     9.547   -0.01836
ENDCAP >1.7          -1.5     3.223     0.037    10.963     1.587      0.30     6.520   -0.00248
ENDCAP >1.7          -1.0     2.867     0.023     8.037     1.137      0.36     5.780   -0.00182
